id,date,dateMonth,pumpPrice,basicFuelPrice,exchangeRate,brentCrude,randPerBarrel,levies,inflation,adjusted
1,2008-01-02,2008-01,747,445.413,6.8433,90.37,618.429021,301.587,74.8,1228
2,2008-02-06,2008-02,764,462.413,6.9838,92.16,643.627008,301.587,75.1,1251
3,2008-03-05,2008-03,825,523.413,7.6645,94.74,726.13473,301.587,76.3,1330
4,2008-04-01,2008-04,891,578.413,7.9884,102.4,818.01216,312.587,77.7,1410
5,2008-05-07,2008-05,946,609.413,7.8446,108.37,850.119302,336.587,78.5,1482
6,2008-06-04,2008-06,996,654.413,7.6434,122.25,934.40565,341.587,79.6,1539
7,2008-07-02,2008-07,1070,730.013,7.9352,131.54,1043.796208,339.987,81.2,1621
8,2008-08-06,2008-08,1040,692.413,7.6814,133.64,1026.542296,347.587,81.8,1564
9,2008-09-02,2008-09,966,598.413,7.6845,113,868.3485,367.587,81.9,1451
10,2008-10-01,2008-10,941,570.813,8.0182,99.08,794.443256,370.187,81.9,1413
11,2008-11-05,2008-11,896,525.813,9.5901,75.33,722.422233,370.187,82,1344
12,2008-12-03,2008-12,735,364.813,10.1823,53.11,540.781953,370.187,81.1,1115
13,2009-01-07,2009-01,601,274.763,9.9518,39.989,397.9625302,326.237,81.4,908
14,2009-02-04,2009-02,662,335.763,9.9332,43.548,432.5709936,326.237,82.3,989
15,2009-03-04,2009-03,707,380.763,10.0602,43.07,433.292814,326.237,83.4,1043
16,2009-04-01,2009-04,738,371.263,10.0655,46.544,468.488632,366.737,83.8,1083
17,2009-05-06,2009-05,735,368.263,9.1531,50.274,460.1629494,366.737,84.1,1075
18,2009-06-03,2009-06,750,383.163,8.4371,56.577,477.3458067,366.837,84.5,1092
19,2009-07-01,2009-07,790,423.163,8.1093,68.34,554.189562,366.837,85.4,1138
20,2009-08-05,2009-08,769,396.763,7.984,64.89,518.08176,372.237,85.6,1105
21,2009-09-02,2009-09,805,432.763,7.9913,72.66,580.647858,372.237,86,1151
22,2009-10-07,2009-10,765,385.263,7.5764,67.84,513.982976,379.737,86,1094
23,2009-11-04,2009-11,765,385.263,7.4988,72.92,546.812496,379.737,86,1094
24,2009-12-02,2009-12,792,412.263,7.5722,76.6,580.03052,379.737,86.2,1130
25,2010-01-06,2010-01,786,406.263,7.5246,74.31,559.153026,379.737,86.4,1119
26,2010-02-03,2010-02,804,424.263,7.4735,76.84,574.26374,379.737,87,1137
27,2010-03-03,2010-03,810,430.563,7.6902,73.17,562.691934,379.437,87.7,1136
28,2010-04-07,2010-04,858,453.063,7.4753,78.89,589.726417,404.937,87.8,1202
29,2010-05-05,2010-05,872,465.063,7.3749,85.75,632.397675,406.937,88,1219
30,2010-06-02,2010-06,845,438.063,7.6575,76.3,584.26725,406.937,88,1181
31,2010-07-14,2010-07,827,420.063,7.6708,74.61,572.318388,406.937,88.6,1148
32,2010-08-04,2010-08,817,410.063,7.5757,78.68,596.056076,406.937,88.6,1134
33,2010-09-01,2010-09,807,400.063,7.3178,77.39,566.324542,406.937,88.7,1119
34,2010-10-16,2010-10,812,396.563,7.1859,77.37,555.973083,415.437,88.9,1123
35,2010-11-03,2010-11,832,416.563,6.9374,82.73,573.931102,415.437,89,1150
36,2010-12-01,2010-12,845,429.563,6.9767,85.15,594.066005,415.437,89.2,1165
37,2011-01-05,2011-01,873,453.949,6.901,90.77,626.40377,419.051,89.6,1198
38,2011-02-02,2011-02,899,479.949,6.8983,95.97,662.029851,419.051,90.2,1226
39,2011-03-02,2011-03,942,522.949,7.2334,102.37,740.483158,419.051,91.3,1269
40,2011-04-06,2011-04,996,552.149,6.9512,114.41,795.286792,443.851,91.6,1337
41,2011-05-04,2011-05,1025,581.149,6.7701,123.49,836.039649,443.851,92,1370
42,2011-06-01,2011-06,1023,579.149,6.8516,116.15,795.81334,443.851,92.4,1362
43,2011-07-01,2011-07,1023,548.149,6.8353,114.19,780.522907,474.851,93.2,1350
44,2011-08-03,2011-08,1009,565.149,6.8134,116.88,796.350192,443.851,93.4,1329
45,2011-09-07,2011-09,1018,574.149,7.059,110.67,781.21953,443.851,93.8,1335
46,2011-10-05,2011-10,1054,606.149,7.5657,113.61,859.539177,447.851,94.2,1376
47,2011-11-02,2011-11,1077,629.149,8.0012,109.28,874.371136,447.851,94.5,1402
48,2011-12-07,2011-12,1066,603.55,8.1398,110.51,899.529298,462.45,94.6,1386
49,2012-01-04,2012-01,1061,598.55,8.2122,107.96,886.589112,462.45,95.2,1371
50,2012-02-01,2012-02,1095,632.55,8.0841,110.42,892.646322,462.45,95.7,1407
51,2012-03-07,2012-03,1123,656.17,7.679,126.39,970.54881,466.83,96.8,1427
52,2012-04-04,2012-04,1194,694.57,7.6193,125.42,955.612606,499.43,97.2,1511
53,2012-05-02,2012-05,1222,718.17,7.8536,120.18,943.845648,503.83,97.2,1546
54,2012-06-06,2012-06,1167,660.99,8.1031,110.27,893.528837,506.01,97.5,1472
55,2012-07-04,2012-07,1082,582.57,8.4189,95.22,801.647658,499.43,97.8,1361
56,2012-08-01,2012-08,1104,608.95,8.2657,102.04,843.432028,495.05,98,1386
57,2012-09-05,2012-09,1197,698.45,8.2758,113.51,939.386058,498.55,98.9,1489
58,2012-10-03,2012-10,1220,708.29,8.3075,112.96,938.4152,511.71,99.5,1508
59,2012-11-07,2012-11,1210,696.09,8.6479,109.05,943.053495,513.91,99.8,1491
60,2012-12-05,2012-12,1201,673.19,8.8252,109.04,962.299808,527.81,100,1477
61,2013-01-02,2013-01,1186,664.77,8.6833,109.13,947.608529,521.23,100.3,1454
62,2013-02-06,2013-02,1227,707.97,8.7629,112.88,989.156152,519.03,101.3,1490
63,2013-03-06,2013-03,1308,784.59,8.9067,116.28,1035.671076,523.41,102.5,1570
64,2013-04-03,2013-04,1320,760.43,9.1932,108.44,996.910608,559.57,102.9,1578
65,2013-05-01,2013-05,1247,693.99,9.1598,102.16,935.765168,553.01,102.6,1495
66,2013-06-05,2013-06,1239,696.97,9.2987,102.62,954.232594,542.03,102.9,1481
67,2013-07-03,2013-07,1323,778.77,10.0487,102.84,1033.408308,544.23,104,1565
68,2013-08-07,2013-08,1355,799.81,9.9348,108.05,1073.45514,555.19,104.3,1598
69,2013-09-04,2013-09,1350,796.99,10.0928,111.07,1121.007296,553.01,104.8,1584
70,2013-10-02,2013-10,1330,772.09,10.0027,112.23,1122.603021,557.91,105,1558
71,2013-11-06,2013-11,1302,746.29,9.9452,109.12,1085.220224,555.71,105.1,1524
72,2013-12-04,2013-12,1319,756.37,10.2121,107.82,1101.068622,562.63,105.4,1539
73,2014-01-01,2014-01,1357,792.19,10.3581,110.73,1146.952413,564.81,106.1,1573
74,2014-02-05,2014-02,1396,828.99,10.8105,108.35,1171.317675,567.01,107.3,1600
75,2014-03-05,2014-03,1432,862.79,11.0054,108.87,1198.157898,569.21,108.7,1620
76,2014-04-02,2014-04,1439,848.59,10.7695,107.67,1159.552065,590.41,109.2,1621
77,2014-05-07,2014-05,1424,842.37,10.5576,108.31,1143.493656,581.63,109.4,1601
78,2014-06-04,2014-06,1402,826.95,10.4042,109.69,1141.236698,575.05,109.7,1572
79,2014-07-02,2014-07,1433,857.95,10.6743,111.62,1191.465366,575.05,110.6,1594
80,2014-08-06,2014-08,1433,853.57,10.6609,106.64,1136.878376,579.43,111,1588
81,2014-09-03,2014-09,1366,786.75,10.6781,101.57,1084.574617,579.25,111,1514
82,2014-10-01,2014-10,1361,781.75,10.6781,97.73,1043.570713,579.25,111.2,1505
83,2014-11-05,2014-11,1316,736.75,11.1004,87.54,971.729016,579.25,111.2,1456
84,2014-12-01,2014-12,1316,656.25,11.0969,79.75,884.977775,659.75,111,1458
85,2015-01-07,2015-01,1124,533.25,11.4749,54.98,630.890002,590.75,110.8,1248
86,2015-02-01,2015-02,1124,440.25,11.5777,48.2,558.04514,683.75,111.5,1240
87,2015-03-04,2015-03,1127,536.25,11.589,57.93,671.35077,590.75,113.1,1226
88,2015-04-01,2015-04,1289,615.65,12.0423,56.11,675.693453,673.35,114.1,1390
89,2015-05-06,2015-05,1289,615.65,12.0459,59.01,710.828559,673.35,114.4,1386
90,2015-06-03,2015-06,1336,662.65,11.9454,64.36,768.805944,673.35,114.9,1430
91,2015-07-01,2015-07,1336,703.65,12.3196,61.94,763.076024,632.35,116.1,1415
92,2015-08-05,2015-08,1326,652.47,12.4128,56.72,704.054016,673.53,116.1,1405
93,2015-09-02,2015-09,1257,578.87,12.8609,46.56,598.803504,678.13,116.1,1332
94,2015-10-07,2015-10,1261,582.87,13.7884,47.79,658.947636,678.13,116.4,1333
95,2015-11-04,2015-11,1239,560.87,13.4734,48.58,654.537772,678.13,116.5,1308
96,2015-12-02,2015-12,1240,553.97,14.0938,44.33,624.778154,686.03,116.8,1306
97,2016-01-06,2016-01,1237,550.97,14.8819,38.22,568.786218,686.03,117.7,1293
98,2016-02-03,2016-02,1243,556.97,16.3276,30.83,503.379908,686.03,119.3,1282
99,2016-03-02,2016-03,1174,487.97,15.7832,32.11,506.798552,686.03,120.2,1201
100,2016-04-06,2016-04,1262,540.97,15.4655,38.49,595.267095,721.03,121.2,1281
101,2016-05-04,2016-05,1274,552.97,14.6477,41.28,604.657056,721.03,121.4,1291
102,2016-06-01,2016-06,1326,604.97,15.2048,46.56,707.935488,721.03,122.1,1336
103,2016-07-06,2016-07,1334,612.97,15.1553,48.34,732.607202,721.03,123.1,1333
104,2016-08-03,2016-08,1235,513.97,14.4407,45.28,653.874896,721.03,123,1235